[2026-06-01T23:08:40] final audit runner start
[2026-06-02T00:33:26] reuse completed greedy_corr_0.5_n10_icir_none
[2026-06-02T00:33:26] reuse completed greedy_corr_0.5_n10_icir_market_cap
[2026-06-02T00:33:26] reuse completed greedy_corr_0.5_n10_icir_market_cap_regression
[2026-06-02T00:33:26] reuse completed greedy_corr_0.5_n10_icir_beta
[2026-06-02T00:33:26] reuse completed greedy_corr_0.5_n10_icir_market_cap_beta
[2026-06-02T00:33:26] reuse completed greedy_corr_0.5_n10_ridge_none
[2026-06-02T00:33:26] reuse completed greedy_corr_0.5_n10_ridge_market_cap
[2026-06-02T00:33:26] reuse completed greedy_corr_0.5_n10_ridge_market_cap_regression
[2026-06-02T00:33:26] reuse completed greedy_corr_0.5_n10_ridge_beta
[2026-06-02T00:33:26] reuse completed greedy_corr_0.5_n10_ridge_market_cap_beta
[2026-06-02T00:33:26] reuse completed greedy_corr_0.7_n10_equal_none
[2026-06-02T00:33:26] reuse completed greedy_corr_0.7_n10_equal_market_cap
[2026-06-02T00:33:26] reuse completed greedy_corr_0.7_n10_equal_market_cap_regression
[2026-06-02T00:33:26] reuse completed greedy_corr_0.7_n10_equal_beta
[2026-06-02T00:33:26] reuse completed greedy_corr_0.7_n10_equal_market_cap_beta
[2026-06-02T00:33:26] reuse completed greedy_corr_0.7_n10_icir_none
[2026-06-02T00:33:26] reuse completed greedy_corr_0.7_n10_icir_market_cap
[2026-06-02T00:33:26] reuse completed greedy_corr_0.7_n10_icir_market_cap_regression
[2026-06-02T00:33:26] reuse completed greedy_corr_0.7_n10_icir_beta
[2026-06-02T00:33:26] reuse completed greedy_corr_0.7_n10_icir_market_cap_beta
[2026-06-02T00:33:26] reuse completed greedy_corr_0.7_n10_ridge_none
[2026-06-02T00:33:26] reuse completed greedy_corr_0.7_n10_ridge_market_cap
[2026-06-02T00:33:26] reuse completed greedy_corr_0.7_n10_ridge_market_cap_regression
[2026-06-02T00:33:26] reuse completed greedy_corr_0.7_n10_ridge_beta
[2026-06-02T00:33:26] reuse completed greedy_corr_0.7_n10_ridge_market_cap_beta
[2026-06-02T00:33:26] reuse completed nest_l1_reversal_equal_market_cap
[2026-06-02T00:33:26] reuse completed nest_l1_reversal_icir_market_cap
